OBJECTID,COSEWICID,THREATS,SCI_NAME,COM_NAME_E,COM_NAME_F,TAXON_E,TAXON_F,SAR_STAT_E,SAR_STAT_F,SIGNIFICANCE TEXT,SIGNIFICANCE
1,20,"Agricultural, Residential, Industrial",Athene cunicularia,Burrowing Owl,Chevêche des terriers,Birds,Oiseaux,Endangered,En voie de disparition,,2
2,27,Habitat Loss,Charadrius montanus,Mountain Plover,Pluvier montagnard,Birds,Oiseaux,Endangered,En voie de disparition,"The Mountain Plover holds a certain mystique among Canadian birders, who will come from across the country to see the species.",2
3,32,Habitat Loss,Oreoscoptes montanus,Sage Thrasher,Moqueur des armoises,Birds,Oiseaux,Endangered,En voie de disparition,na,3
4,35,Habitat Loss,Tympanuchus cupido,Greater Prairie–Chicken,Tétras des prairies,Birds,Oiseaux,Extirpated,Disparue du pays,"The Greater Prairie–Chicken is a flagship species for prairie conservation. It is enjoyed by hunters, and bird–watchers, and it has cultural significance to some First Nations, including the Blackfoot Nation. Their Prairie Chicken Dance (Kitokipaaskaan) mimics the mating dance of the Greater Prairie–Chicken (Blackfoot Crossing Historic Park 2008).",2
5,38,Habitat Loss,Lanius ludovicianus excubitorides,Loggerhead Shrike Prairie subspecies,Pie–grièche migratrice de la sous–espèce des Prairies,Birds,Oiseaux,Threatened,Menacée,na,3
6,47,Natural System Modifications,Buteo regalis,Ferruginous Hawk,Buse rouilleuse,Birds,Oiseaux,Threatened,Menacée,"Ferruginous Hawk is the largest species of buteo in North America, and globally only the Upland Buzzard may be larger. It is the only raptor that is endemic to the grasslands of North America. There is no species-specific Aboriginal Traditional Knowledge in this report. However, Ferruginous Hawk, like all species, is important to Indigenous peoples who recognize the interrelationships of all species within the ecosystem.",3
7,52,Habitat Loss,Numenius americanus,Long–billed Curlew,Courlis à long bec,Birds,Oiseaux,Special Concern,Préoccupante,"Taverner (1934) captures the special significance of the Long-billed Curlew when he remarks that it “embodies the spirit of the open range more than does any other bird”. As the largest sandpiper in the world, with its distinctive down-curved bill, the Long-billed Curlew is easily observed and recognized by even the most casual of wildlife watchers. The Grasslands Conservation Council of British Columbia uses the image of the Long-billed Curlew in its logo",3
8,138,Limited Habitat,Mustela nigripes,Black–footed Ferret,Putois d'Amérique,Mammals,Mammifères,Extirpated,Disparue du pays,,3
9,140,"Invasive & other Problematic Species, Genes & Diseases",Vulpes velox,Swift Fox,Renard véloce,Mammals,Mammifères,Threatened,Menacée,"In many First Nation cultures, Swift Foxes are significant. Swift, Kit, or Prairie Fox societies (e.g., the Kainai [Blood Tribe] Kit Fox Society) had unique apparel, haircuts, ceremonies, dances, customs, and accompaniments (Laubin 1977). The status of these societies was directly related to the Tribe's image of the value and character of the fox (see Pruss et al. 2008). Swift Foxes have been regarded as being powerful, too dangerous even to speak of, and with the strongest medicine (Wissler and Duvall 1995). In southern Alberta, Blood Tribe elders recognize that the Sinopaa (Swift Fox) plays a vital role in Kainai spirituality, and there exists considerable interest in continuing Swift Fox reintroductions on Blood Tribe lands (Pruss et al. 2008).",1
10,164,Habitat Loss,Dipodomys ordii,Ord's Kangaroo Rat,Rat kangourou d'Ord,Mammals,Mammifères,Endangered,En voie de disparition,"Ord’s kangaroo rat is the only Dipodomys that occurs in Canada. Although the species is widely distributed and secure in the majority of its range in western North America, the Canadian population is geographically isolated and exhibits characteristics, e.g., torpor use, that appear unique among kangaroo rats (Gummer 1997a, Gummer and Robertson 2003c, Gummer 2005).",3
11,192,"Agricultural, Residential, Industrial",Halimolobos virgata,Slender Mouse–ear–cress,Halimolobos mince,Vascular Plants,Plantes vasculaires,Threatened,Menacée,"There is no species-specific ATK in the report. However, Slender Mouse-ear-cress is important to Indigenous Peoples, who recognize the interrelationships of all species within the ecosystem.",3
12,230,"Invasive & other Problematic Species, Genes & Diseases",Tripterocalyx micranthus,Small–flowered Sand–verbena,Abronie à petites fleurs,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,,3
13,235,Habitat Loss,Iris missouriensis,Western Blue Flag,Iris du Missouri,Vascular Plants,Plantes vasculaires,Special Concern,Préoccupante,,3
14,236,"Agricultural, Residential, Industrial",Tradescantia occidentalis,Western Spiderwort,Tradescantie de l'Ouest,Vascular Plants,Plantes vasculaires,Threatened,Menacée,,3
15,264,Habitat Loss,Chenopodium subglabrum,Smooth Goosefoot,Chénopode glabre,Vascular Plants,Plantes vasculaires,Threatened,Menacée,"This species is considered at risk nationally, and its global rank is uncertain covering the range of G3G4. Chenopodium subglabrum plays a role in dune stabilization, being one of the few plants that can colonize active sand. Several related species are important economically including quinoa (C. quinoa), grown for its seeds, and good King Henry (C. bonus-henericus), grown for its leaves (Everett 1981). The aboriginal peoples of the western United States consumed seeds of several other Chenopodium species (C. pratericola and C. fremontii",3
16,265,Natural System Modifications,Yucca glauca,Soapweed,Yucca glauque,Vascular Plants,Plantes vasculaires,Threatened,Menacée,"Soapweed is known to be of significance to Aboriginal groups in the United States
for food and fibre and it is expected that ATK, including knowledge of the interactions
between the Soapweed and Yucca Moth, may exist in those areas where Soapweed is
more common. No ATK was found to be available in Canada, nor are any Aboriginal
artifacts containing yucca fibre known to occur",2
17,279,Habitat Loss,Phrynosoma hernandesi,Greater Short–horned Lizard,Grand iguane à petites cornes,Reptiles,Reptiles,Endangered,En voie de disparition,No Aboriginal traditional knowledge was available for the species (N. Jones personal communication 2016).,3
18,291,"Agricultural, Residential, Industrial",Centrocercus urophasianus phaios,Greater Sage-Grouse phaios subspecies,Tétras des armoises de la sous-espèce phaios,Birds,Oiseaux,Extirpated,Disparue du pays,,2
19,305,Habitat Loss,Centrocercus urophasianus urophasianus,Greater Sage-Grouse urophasianus subspecies,Tétras des armoises de la sous-espèce urophasianus,Birds,Oiseaux,Endangered,En voie de disparition,,2
20,492,"Agricultural, Residential, Industrial",Reithrodontomys megalotis dychei,Western Harvest Mouse dychei subspecies,Souris des moissons de la sous-espèce dychei,Mammals,Mammifères,Endangered,En voie de disparition,,3
21,553,"Agricultural, Residential, Industrial",Cryptantha minima,Tiny Cryptantha,Cryptanthe minuscule,Vascular Plants,Plantes vasculaires,Threatened,Menacée,,3
22,559,"Agricultural, Residential, Industrial",Anaxyrus cognatus,Great Plains Toad,Crapaud des steppes,Amphibians,Amphibiens,Special Concern,Préoccupante,,3
23,573,Habitat Loss,Anthus spragueii,Sprague's Pipit,Pipit de Sprague,Birds,Oiseaux,Threatened,Menacée,,2
24,635,"Invasive & other Problematic Species, Genes & Diseases",Limenitis weidemeyerii,Weidemeyer's Admiral,Amiral de Weidemeyer,Arthropods,Arthropodes,Special Concern,Préoccupante,,3
25,689,"Agricultural, Residential, Industrial",Bartramia halleriana,Haller's Apple Moss,Bartramie de Haller,Mosses,Mousses,Threatened,Menacée,,3
26,715,"Invasive & other Problematic Species, Genes & Diseases",Tegeticula yuccasella,Yucca Moth,Teigne du yucca,Arthropods,Arthropodes,Endangered,En voie de disparition,,3
27,865,"Agricultural, Residential, Industrial",Schinia verna,Verna's Flower Moth,Héliotin de Verna,Arthropods,Arthropodes,Threatened,Menacée,,3
28,897,"Agricultural, Residential, Industrial",Rhynchophanes mccownii,McCown's Longspur,Plectrophane de McCown,Birds,Oiseaux,Special Concern,Préoccupante,,3
29,927,Multiple Factors/Unknown,Prodoxus quinquepunctellus,Five–spotted Bogus Yucca Moth,Fausse–teigne à cinq points du yucca,Arthropods,Arthropodes,Endangered,En voie de disparition,,3
30,932,Natural System Modifications,Psilocarphus brevissimus,Dwarf Woolly-heads (Prairie population),Psilocarphe nain (Population des Prairies),Vascular Plants,Plantes vasculaires,Special Concern,Préoccupante,,3
31,937,Natural System Modifications,Satyrium semiluna,Half–moon Hairstreak,Porte–queue demi–lune,Arthropods,Arthropodes,Endangered,En voie de disparition,,3
32,939,Natural System Modifications,Schinia avemensis,Gold–edged Gem,Héliotin d'Aweme,Arthropods,Arthropodes,Endangered,En voie de disparition,,3
33,941,Limited Habitat,Tegeticula corruptrix,Non–pollinating Yucca Moth,Teigne tricheuse du yucca,Arthropods,Arthropodes,Endangered,En voie de disparition,,3
34,997,"Agricultural, Residential, Industrial",Copablepharon longipenne,Dusky Dune Moth,Noctuelle sombre des dunes,Arthropods,Arthropodes,Endangered,En voie de disparition,,3
35,998,Habitat Loss,Copablepharon grandis,Pale Yellow Dune Moth,Noctuelle jaune pâle des dunes,Arthropods,Arthropodes,Special Concern,Préoccupante,,3
36,1057,"Agricultural, Residential, Industrial",Sanfilippodytes bertae,Bert's Predaceous Diving Beetle,Hydropore de Bertha,Arthropods,Arthropodes,Endangered,En voie de disparition,,3
37,1064,Habitat Loss,Calcarius ornatus,Chestnut–collared Longspur,Plectrophane à ventre noir,Birds,Oiseaux,Threatened,Menacée,,2
38,1086,"Invasive & other Problematic Species, Genes & Diseases",Pinus albicaulis,Whitebark Pine,Pin à écorce blanche,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,,1
39,34,Limited Habitat,Grus americana,Whooping Crane,Grue blanche,Birds,Oiseaux,Endangered,En voie de disparition,,1
40,60,Natural System Modifications,Asio flammeus,Short–eared Owl,Hibou des marais,Birds,Oiseaux,Special Concern,Préoccupante,,2
42,143,Biological Resource Use,Bison bison athabascae,Wood Bison,Bison des bois,Mammals,Mammifères,Special Concern,Préoccupante,"The American Bison has a history rich in paleontology, paleoecology, and archaeology; perhaps no other species has so profoundly shaped early cultures and emerging politics of a continent.",1
