COSEWICID,SCI_NAME,COM_NAME_E,TAXON_E,SAR_STAT_E,SCHEDULE_E,DataSource,PA_Type,PA_Name,area_in_CA_m2,area_in_AB_m2,area_in_PA_m2
143,Bison bison athabascae,Wood Bison,Mammals,Special Concern,Schedule 1,Environment Canada,WPP,Caribou Mountains Wildland Provincial Park,58971703857,20348077363,188933481
143,Bison bison athabascae,Wood Bison,Mammals,Special Concern,Schedule 1,Environment Canada,NA,Harper Creek Natural Area,58971703857,20348077363,26369733
143,Bison bison athabascae,Wood Bison,Mammals,Special Concern,Schedule 1,Environment Canada,WPP,Hay-Zama Lakes Wildland Provincial Park,58971703857,20348077363,477782822
143,Bison bison athabascae,Wood Bison,Mammals,Special Concern,Schedule 1,Environment Canada,WPP,Kazan Wildland Provincial Park,58971703857,20348077363,12064971
143,Bison bison athabascae,Wood Bison,Mammals,Special Concern,Schedule 1,Environment Canada,WPP,Richardson Wildland Provincial Park,58971703857,20348077363,1332527
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,Birch Mountains Wildland Provincial Park,2663063334682,172383930931,1473286989
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,Birch River Wildland Provincial Park,2663063334682,172383930931,3346472301
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,Chinchaga Wildland Provincial Park,2663063334682,172383930931,803036677
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PP,Cold Lake Provincial Park,2663063334682,172383930931,45795229
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Blackstone Provincial Recreation Area,7935504687439,662493790164,31757
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Bleriot Ferry Provincial Recreation Area,7935504687439,662493790164,52940
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PRA,Bleriot Ferry Provincial Recreation Area,626042908763,97491572772,52940
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Blue Rapids Provincial Recreation Area,7935504687439,662493790164,36476984
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,WPP,Bluerock Wildland Provincial Park,7935504687439,662493790164,128217363
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,WPP,Bob Creek Wildland Provincial Park,7935504687439,662493790164,209788831
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,WPP,Bob Creek Wildland Provincial Park,626042908763,97491572772,209788831
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Bragg Creek Provincial Park,7935504687439,662493790164,1333442
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,WPP,Brazeau Canyon Wildland Provincial Park,7935504687439,662493790164,47940244
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Brazeau Reservoir Provincial Recreation Area,7935504687439,662493790164,1417831
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Brazeau River Provincial Recreation Area,7935504687439,662493790164,111287
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Bridge Lake Natural Area,7935504687439,662493790164,1120581
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Brown-Lowery Provincial Park,7935504687439,662493790164,2793881
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Brown Creek Provincial Recreation Area,7935504687439,662493790164,38803
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Buck Lake Creek Natural Area,7935504687439,662493790164,1304745
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Buck Lake Natural Area,7935504687439,662493790164,1105623
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Buck Lake Provincial Recreation Area,7935504687439,662493790164,493385
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Buffalo Lake Provincial Recreation Area,7935504687439,662493790164,24098
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Buffalo Tower Provincial Recreation Area,7935504687439,662493790164,192597
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Bullshead Reservoir Provincial Recreation Area,7935504687439,662493790164,52252
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PRA,Bullshead Reservoir Provincial Recreation Area,626042908763,97491572772,52252
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Burnt Timber Provincial Recreation Area,7935504687439,662493790164,327929
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Burtonsville Island Natural Area,7935504687439,662493790164,4527437
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Butcher Creek Natural Area,7935504687439,662493790164,1782424
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,NA,Butcher Creek Natural Area,626042908763,97491572772,1782424
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Calhoun Bay Provincial Recreation Area,7935504687439,662493790164,3945882
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Calling Lake Provincial Park,7935504687439,662493790164,7436172
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Canmore Nordic Centre Provincial Park,7935504687439,662493790164,6884990
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Caribou River Natural Area,7935504687439,662493790164,1769932
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Carnwood Modeste Natural Area,7935504687439,662493790164,653883
